N Theta t_tree m_used_nodes t_exact err_sum
5000 0.200 1.64875 1736.48 6.8744 0.00128431
5000 0.400 0.467957 502.845 6.51361 0.00674545
5000 0.800 0.103803 110.968 6.29948 0.0316469
10000 0.200 4.73178 2404.89 25.1333 0.00145157
10000 0.400 1.16883 622.909 25.1313 0.00698909
10000 0.800 0.238019 128.757 25.1717 0.032126
20000 0.200 13.9181 3121.22 104.066 0.001601
20000 0.400 2.81475 738.402 104.437 0.00724406
20000 0.800 0.553876 145.197 106.118 0.0320334
40000 0.200 33.8408 3977.43 425.242 0.00168272
40000 0.400 6.94127 867.969 425.35 0.00736282
40000 0.800 1.28794 162.829 425.022 0.0323547
